galaxy,Mgas,err_Mgas,Mdust,err_Mdust,Z,err_Z
NGC2907,1144827504.0,140757480.00000045,6508000.0,1988000.0,nan,nan
NGC2915,373610615.7579589,26005379.28709701,50010.0,32490.0,0.22952824234720795,0.004756574783250309
NGC2950,nan,nan,2825000.0,1863000.0,nan,nan
NGC2974,641303175.928669,106883862.65477856,5709000.0,1362000.0,nan,nan
NGC2976,153293965.19310373,9107862.217815435,1133000.0,130700.0,0.42657951880221284,0.026520362306214542
NGC2992,7356390336.0,985738133.0769881,12730000.0,1831000.0,nan,nan
NGC2993,11169668107.658722,nan,6802000.0,1032000.0,0.6546361740680686,0.16128703804463806
NGC3031,3705537386.842357,183143287.1767363,12930000.0,2686000.0,0.6165950018624544,0.02981501165377429
NGC3034,4614916040.526865,1140004084.6901777,nan,nan,nan,nan
NGC3049,2173602115.2181616,546051949.352712,4321000.0,909800.0,0.6194410750777591,0.08985789448415073
NGC3073,474442832.546051,52715870.28289487,1089000.0,2834000.0,nan,nan
NGC3077,927042735.7076788,45987553.19420429,801100.0,123600.0,0.4549880601507199,0.0660018696620025
NGC3079,17079376002.906612,3410152044.1442327,34230000.0,13040000.0,nan,nan
NGC3081,2933438700.0,364608200.00000185,8097000.0,3594000.0,nan,nan
NGC3147,26985667636.430756,4454445333.562777,210400000.0,19560000.0,nan,nan
NGC3155,6391599938.849727,439075126.23402494,15910000.0,3715000.0,nan,nan
NGC3182,775320429.0684326,272515566.9128022,2201000.0,1075000.0,0.6698846094176013,0.12185483893805957
NGC3184,4333159127.834226,378304218.61200666,17760000.0,2465000.0,0.6123503917257365,0.014099888836769658
NGC3185,967216001.6969328,185330684.28834265,6771000.0,1984000.0,nan,nan
NGC3187,3266531193.7834992,26272370.87997029,18490000.0,3857000.0,0.4775292736584021,0.07257041794163752
NGC3190,4192427196.6653295,16753037.171878768,14860000.0,2661000.0,nan,nan
NGC3193,411903784.1250707,nan,nan,nan,nan,nan
NGC3198,10697918260.524834,534091411.32753724,16610000.0,1936000.0,0.5571857489327896,0.034640125187089546
NGC3226,872532948.7422721,nan,nan,nan,nan,nan
NGC3227,1725746661.8572156,9850152.068963671,nan,nan,nan,nan
NGC3245A,1318817658.7429936,9978443.817001376,4579000.0,2547000.0,0.2971666031741994,0.04995035151415105
NGC3252,886655984.2387216,94653906.81415564,4283000.0,1201000.0,nan,nan
NGC3254,12941623314.277397,39637436.2150272,36460000.0,4617000.0,nan,nan
NGC3256,85876759307.2,nan,71630000.0,7636000.0,0.583445104274654,0.03627266399145903
NGC3277,946950004.2200089,212328142.25574407,3224000.0,1006000.0,nan,nan
NGC3283,nan,nan,12190000.0,2688000.0,nan,nan
NGC3287,373065714.36099434,3698297.1016625524,3022000.0,405200.0,0.45185594437558707,0.03121310285101148
NGC3294,5094719144.064199,2106409561.0667517,36160000.0,3547000.0,0.6471426157496127,0.04172282632186844
NGC3301,107478223.2,17039230.27294389,446400.0,180400.0,nan,nan
NGC3338,19367691999.478672,213063948.19080842,34370000.0,5095000.0,0.6886522963453875,0.08562674763836299
NGC3346,2408133880.46875,109641333.3511511,14180000.0,1826000.0,0.5248074602505719,0.07975531308791875
NGC3348,nan,nan,nan,nan,nan,nan
NGC3351,2539567987.6931143,398011338.0710299,9388000.0,1109000.0,0.7834296427675098,0.03607826833693443
NGC3353,1073598603.2117133,nan,1780000.0,301700.0,0.28589168371636603,0.013165798582729859
NGC3364,3811860483.7550325,277073559.3918866,12650000.0,2038000.0,nan,nan
NGC3370,7909438846.752571,578307068.8674164,21880000.0,2774000.0,0.5223961889999146,0.026462956903427114
NGC3380,22551104.015281603,575283.2630717603,239200.0,52240.0,nan,nan
NGC3381,2916427110.4845657,17545350.916060597,8459000.0,1464000.0,0.464515275223437,0.011765445430177518
NGC3395,5377171920.743105,14696188.509329619,nan,nan,nan,nan
NGC3396,3589287490.8,648208054.8,nan,nan,nan,nan
NGC3403,6690181487.383237,153247999.58784327,12760000.0,2320000.0,nan,nan
NGC3413,945392101.4518886,4345203.504429254,1619000.0,1009000.0,0.2312064790178483,0.0356689636633507
NGC3414,202130615.57603526,13278654.059416842,1861000.0,3834000.0,nan,nan
NGC3424,3316924270.2166123,38310977.15526065,21360000.0,2497000.0,nan,nan
